LAMMPS data file via write_data, version 7 Feb 2024, timestep = 1000000, units = metal

24000 atoms
8 atom types

0 77.9761 xlo xhi
0 77.9761 ylo yhi
0 76.4216 zlo zhi

Masses

1 137.327
2 140.90765
3 58.933195
4 15.999
5 138.90547
6 144.242
7 150.36
8 88.9058

Pair Coeffs # buck/coul/long

1 0 0.1 0
2 0 0.1 0
3 0 0.1 0
4 9547.96 0.2192 32
5 0 0.1 0
6 0 0.1 0
7 0 0.1 0
8 0 0.1 0

Atoms # charge

8 6 3 4.55673078548239 3.2908480578905057 3.195746883435733 0 0 0
11 4 -2 2.7555120145789163 2.623459627368882 2.241019586607053 0 0 0
17 4 -2 5.327533379928488 5.250492678827024 2.2202451939712717 0 0 0
9 3 3 1.8219688546064123 1.2767862027265444 2.5480655786633726 0 0 0
128 5 1.8 4.470831059515529 6.719343316284222 3.5607069316867297 0 0 0
129 3 3 2.571718311240407 5.492937168380388 5.070002963192003 0 0 0
130 4 -2 2.3423013397730905 6.138487196335269 3.4155977513195577 0 0 0
131 4 -2 4.1701985830065045 4.703653242929072 4.883163131734546 0 0 0
135 3 3 6.199947923062377 6.123418393053206 0.674464366332991 0 0 0
138 4 -2 1.2213552560710847 4.5058944381649955 5.348859862957786 0 0 0
24 4 -2 7.914939361400908 2.751594512197786 4.032061859667231 0 0 0
249 3 3 2.0270422617303248 7.808080664674226 3.1340467597138972 0 0 0
14 8 1.8 7.43518007158507 4.144623510190271 2.3543666743445613 0 0 0
15 3 3 7.0969063006661575 1.2989731913794065 3.2154782600537977 0 0 0
16 4 -2 6.726108192535239 2.0466448517373963 1.7432664858221882 0 0 0
250 4 -2 3.4770078894124383 8.43729998247148 2.7403907419597715 0 0 0
246 4 -2 0.7591813172536087 7.816251386662767 1.6404730661768765 0 0 0
18 4 -2 5.491733768993527 1.4589801594284995 4.0157231582979085 0 0 0
134 7 2 8.87701330219705 7.482070467348268 2.559236029927489 0 0 0
144 4 -2 7.861241706239477 5.707079243105329 0.8804278444809573 0 0 0
372 4 -2 0.8049724897143794 8.461044993358254 4.125820751135027 0 0 0
2291 4 -2 2.7255376879507898 0.5958689953138327 4.013390042196838 0 1 0
2 7 2 0.5751345609174303 4.221579106192186 2.9888957735040638 0 0 0
137 4 -2 6.3823903791869885 7.847228745334479 0.8545830096759179 0 0 0
243 3 3 1.0663371187802992 9.196162231094979 0.35271880006626904 0 0 0
13 1 2 2.888114528711244 5.709814134863785 0.304350861998938 0 0 0
132 4 -2 2.9497117937471837 6.954279189412093 5.85905231000149 0 0 0
2533 1 2 9.329743324415379 5.777414194379622 6.698466507942142 0 0 0
2287 1 2 4.70920443322594 0.42322879687082127 1.0728152675461715 0 1 0
2410 4 -2 4.124669294799726 0.591250731212699 7.151589693386613 0 0 0
2530 4 -2 3.241992451482347 3.2320491023940177 10.61495440088472 0 0 0
2776 4 -2 8.825993964698718 9.523271507294986 10.85962210581416 0 0 0
242 5 1.8 1.334683910858103 8.208360764905281 6.224086121864999 0 0 0
248 6 3 4.451298269678844 9.416661545030644 0.8226281539319918 0 0 0
378 4 -2 8.807147660760386 9.55234623275888 3.9095373198221472 0 0 0
2647 1 2 3.3872108298978363 8.679760496289388 9.744317677598442 0 0 0
2408 8 1.8 7.990544840845888 2.927441055176601 11.870611657031176 0 0 0
2402 6 3 1.6754255459727305 1.368757400328287 10.460158679588679 0 0 0
2526 4 -2 0.39129384551483126 3.7928749598495743 11.517759177296835 0 0 0
2655 3 3 4.889241586927537 5.4323676144002935 10.927326631550493 0 0 0
2401 1 2 2.2023772713486043 2.577349509216644 6.577832868187936 0 0 0
2415 3 3 8.952139909194374 2.231989685813896 9.144698792913708 0 0 0
2537 4 -2 6.329965333304794 6.450618497983323 11.122850334092169 0 0 0
2527 1 2 4.738623426923689 6.008891843282613 7.56143925244545 0 0 0
2648 2 3 7.269170280149446 8.264340275849303 10.050640205511007 0 0 0
2656 4 -2 3.7850965421967415 6.2942258344142745 9.980739808918834 0 0 0
2522 5 1.8 1.9808754646791196 4.8972308220642775 10.112846211038569 0 0 0
2538 4 -2 8.808982817842004 5.952330789763745 10.663609741003063 0 0 0
2407 1 2 6.472970373501076 2.8559873723042184 6.652809371874011 0 0 0
2524 4 -2 0.38268751741957424 2.612701922367033 9.133992906934404 0 0 0
4697 4 -2 8.748986477411604 0.8550771630728058 10.388063467043253 0 1 0
2417 4 -2 8.314242276756842 3.6171558425382644 10.002147284356214 0 0 0
2529 3 3 4.912911113108108 2.678871816563408 10.41624829855135 0 0 0
2416 4 -2 8.069982150330535 1.415542197778888 7.922014667782574 0 0 0
2532 4 -2 5.692086919446391 4.169796547154236 9.826197290518095 0 0 0
2411 4 -2 4.896338556775434 1.1040994347745219 9.765406141203156 0 0 0
2535 3 3 7.429973906223605 5.072994756121283 9.799518642399953 0 0 0
2536 4 -2 7.3331265535378005 5.976503524919829 8.288001972633515 0 0 0
2531 4 -2 5.446762650660187 2.7414322236958255 12.091385910691228 0 0 0
2761 1 2 7.064827771573851 9.677644979365375 6.030000384260939 0 0 0
4682 8 1.8 6.988455727297518 0.18056314129252277 9.351876862560633 0 1 0
2658 4 -2 4.63455179422574 5.110710229399982 12.57064362646775 0 0 0
12 4 -2 0.030145799244873112 1.6862737959242273 2.6521563251268265 0 0 0
141 3 3 9.710211095709125 4.744242539165822 0.7867859767216872 0 0 0
21 3 3 9.679382251792234 3.3057697144215 3.7477260160325976 0 0 0
23 4 -2 9.41610911617683 3.8942407216417836 2.124194250321539 0 0 0
