Rank,RMSE,Length,Model Equation
31,0.6306,25,"mul(0.482, add(M, add(div(div(add(E, div(M, mul(sub(Gd, Y), sub(Pr, R)))), div(La, sub(Ce, La))), 3.407), E)))"
32,0.6329,29,"mul(0.482, add(add(Ce, mul(sub(M, R), mul(div(Sm, Gd), mul(div(Sm, Gd), mul(div(Sm, Pr), add(sub(Gd, R), div(EN, E))))))), E))"
33,0.6355,31,"add(div(div(sub(M, E), add(sub(Nd, M), add(La, -3.758))), add(sub(Nd, M), add(La, -3.758))), add(div(mul(sub(Ce, Gd), sub(R, Sm)), 3.354), E))"
34,0.6372,33,"add(div(sub(Nd, LAS), E), add(div(div(div(div(Ce, Gd), sub(R, Y)), div(LAS, Ce)), La), add(div(sub(Ce, E), LAS), add(div(sub(Ce, E), LAS), E))))"
35,0.6373,28,"div(add(add(sub(Nd, Y), EN), add(add(mul(sub(Sm, La), add(sub(neg(Ce), sub(Y, IE)), Gd)), EN), add(sub(E, LAS), E))), 3.055)"
36,0.6398,25,"mul(0.482, add(M, add(div(sub(4.962, E), div(sub(Ce, Nd), sub(EN, La))), add(div(sub(Sm, Gd), sub(La, Y)), E))))"
37,0.6404,23,"add(div(sub(EN, La), div(Y, sub(Gd, div(E, sub(Gd, 3.865))))), add(div(sub(R, E), div(LAS, 2.343)), E))"
38,0.6406,21,"add(div(div(div(Ce, sub(R, Y)), LAS), LAS), add(div(sub(Ce, E), div(3.999, sub(Nd, LAS))), E))"
39,0.6486,30,"add(div(sub(Ce, E), LAS), add(div(sub(Ce, E), LAS), add(div(sub(Nd, LAS), E), add(div(Ce, neg(mul(mul(LAS, LAS), sub(Y, R)))), E))))"
40,0.6496,28,"add(div(sub(M, E), add(-3.416, La)), add(div(neg(mul(sub(Sm, add(R, sub(La, Sm))), sub(Ce, Gd))), add(R, sub(La, Sm))), E))"
41,0.6506,26,"add(div(div(Gd, Y), neg(add(mul(sub(La, R), 2.929), mul(sub(EN, Gd), -4.371)))), mul(0.482, add(add(Ce, div(Gd, E)), E)))"
42,0.6517,27,"add(div(sub(R, LAS), LAS), add(div(sub(EN, La), div(div(R, add(M, -4.818)), add(Gd, -4.818))), add(div(sub(R, E), LAS), E)))"
43,0.6519,23,"add(div(sub(Ce, E), LAS), add(div(sub(Ce, E), LAS), add(div(div(sub(LAS, Nd), sub(Y, R)), 3.547), E)))"
44,0.6520,29,"add(div(sub(Gd, mul(div(R, La), mul(div(R, La), E))), La), add(div(div(div(-3.979, M), sub(Y, R)), La), add(sub(R, La), E)))"
45,0.6530,25,"add(div(add(Ce, sub(add(Ce, sub(sub(Nd, LAS), E)), E)), LAS), add(div(Ce, mul(mul(LAS, LAS), sub(R, Y))), E))"
46,0.6534,23,"add(div(sub(mul(div(EN, Y), mul(sub(EN, R), mul(div(EN, La), sub(M, R)))), sub(E, Ce)), 2.651), E)"
47,0.6588,28,"add(div(sub(EN, E), 3.160), add(div(neg(mul(sub(mul(div(Ce, Gd), 6.741), Gd), sub(EN, R))), Ce), add(div(sub(M, La), 3.160), E)))"
48,0.6595,32,"add(div(add(Ce, neg(La)), 3.939), add(div(sub(M, E), 3.939), add(div(mul(sub(EN, R), div(div(sub(M, R), div(La, M)), div(La, M))), 3.939), E)))"
49,0.6609,41,"mul(0.482, add(mul(0.482, add(M, add(add(E, div(sub(5.591, Gd), sub(La, Y))), div(sub(Sm, Nd), sub(La, Ce))))), add(add(E, div(sub(5.591, Gd), sub(La, Y))), div(sub(Sm, Nd), sub(La, Ce)))))"
50,0.6625,30,"add(div(sub(Ce, E), LAS), add(div(sub(Ce, E), LAS), add(div(div(2.629, mul(neg(LAS), sub(Y, R))), 3.777), add(div(sub(Nd, LAS), LAS), E))))"
51,0.6629,23,"add(div(sub(Ce, LAS), LAS), add(div(sub(Pr, E), 3.818), add(div(Ce, mul(mul(LAS, sub(R, Y)), M)), E)))"
52,0.6664,23,"div(add(sub(EN, sub(LAS, EN)), add(Pr, div(sub(E, div(sub(R, Gd), sub(Gd, La))), div(LAS, E)))), 3.055)"
53,0.6689,25,"add(div(sub(M, La), sub(R, 3.890)), add(div(sub(R, E), 3.890), add(div(div(sub(E, EN), sub(Y, EN)), La), E)))"
54,0.6715,35,"add(div(sub(Ce, E), mul(sub(Gd, EN), Ce)), add(div(sub(Nd, add(div(sub(M, La), 3.035), E)), LAS), add(div(sub(Ce, E), 3.035), add(div(sub(M, La), 3.035), E))))"
55,0.6716,23,"add(div(sub(M, La), add(add(R, -7.367), add(sub(R, M), R))), add(div(sub(Ce, E), sub(LAS, 2.806)), E))"
56,0.6717,27,"add(div(sub(div(EN, div(E, div(EN, div(E, M)))), La), R), add(mul(div(sub(M, Sm), sub(Nd, La)), sub(R, La)), E))"
57,0.6759,31,"add(div(sub(add(Pr, Ce), add(E, LAS)), 3.276), add(div(div(sub(Gd, La), mul(add(La, La), sub(E, IE))), mul(add(La, La), sub(E, IE))), E))"
58,0.6786,21,"mul(0.482, add(add(Ce, div(M, sub(R, div(EN, div(R, div(EN, div(R, sub(M, R)))))))), E))"
59,0.6799,22,"add(div(add(sub(M, La), sub(M, add(mul(sub(EN, R), mul(sub(Ce, Gd), neg(-1.820))), E))), La), E)"
60,0.6813,31,"add(div(sub(Ce, sub(E, sub(M, sub(E, sub(M, sub(sub(La, mul(sub(Ce, Gd), sub(R, EN))), mul(sub(Ce, Gd), sub(R, EN)))))))), Y), E)"
61,0.6822,35,"add(div(div(sub(M, La), neg(add(-8.929, mul(div(IE, Y), EN)))), neg(add(-8.929, mul(div(IE, Y), EN)))), add(div(sub(R, E), LAS), add(div(sub(Ce, E), LAS), E)))"
62,0.6836,17,"mul(0.482, add(M, add(div(sub(mul(M, div(Gd, Ce)), R), sub(Sm, La)), E)))"
63,0.6842,26,"add(div(sub(add(Ce, div(7.610, add(add(mul(R, EN), neg(EN)), mul(sub(R, M), add(Nd, IE))))), E), div(LAS, 3.140)), E)"
64,0.6861,29,"mul(0.482, add(mul(0.482, add(M, add(mul(sub(EN, R), sub(Gd, Ce)), EN))), add(div(add(mul(sub(EN, R), sub(Gd, Ce)), EN), Nd), E)))"
65,0.6871,21,"mul(0.482, add(add(Ce, div(IE, sub(Y, div(Sm, sub(sub(R, sub(EN, La)), sub(Gd, La)))))), E))"
66,0.6881,17,"mul(0.482, add(add(Ce, div(Ce, add(R, sub(add(R, sub(R, M)), M)))), E))"
67,0.6881,17,"mul(0.482, add(add(Ce, div(Ce, sub(R, sub(M, add(R, sub(R, M)))))), E))"
68,0.6881,17,"mul(0.482, add(add(Ce, div(Ce, sub(R, add(sub(M, R), sub(M, R))))), E))"
69,0.6881,17,"mul(0.482, add(E, add(Ce, div(Ce, add(sub(add(sub(R, M), R), M), R)))))"
70,0.6881,17,"mul(0.482, add(E, add(Ce, div(Ce, sub(R, sub(M, sub(R, sub(M, R))))))))"
71,0.6890,21,"mul(0.482, add(add(Ce, div(M, sub(R, div(EN, div(sub(R, 0.482), sub(M, sub(R, 0.482))))))), E))"
72,0.6897,23,"add(div(mul(sub(M, R), sub(EN, R)), 3.605), add(div(sub(Ce, E), 3.605), add(div(sub(M, La), 2.638), E)))"
73,0.6903,24,"add(div(mul(sub(Gd, Ce), sub(EN, R)), 3.891), add(div(neg(sub(La, M)), La), add(div(sub(M, E), La), E)))"
74,0.6920,33,"mul(0.482, add(add(Ce, div(M, sub(R, sub(M, div(R, div(mul(0.482, add(add(Ce, div(M, sub(R, sub(M, div(R, div(M, R)))))), E)), R)))))), E))"
75,0.6921,41,"mul(0.482, add(Ce, add(div(mul(Gd, mul(0.482, add(Ce, add(div(mul(Gd, M), add(mul(R, La), mul(add(EN, EN), sub(Y, LAS)))), E)))), add(mul(R, La), mul(add(EN, EN), sub(Y, LAS)))), E)))"
76,0.6923,39,"add(div(sub(Nd, E), add(div(div(sub(Gd, Y), sub(IE, La)), 3.511), E)), add(div(sub(M, E), IE), add(div(sub(Ce, La), 4.039), add(div(div(sub(Gd, Y), sub(IE, La)), 3.511), E))))"
77,0.6930,33,"mul(0.482, add(add(Ce, div(mul(0.482, add(add(Ce, div(M, sub(R, div(8.975, div(R, sub(M, R)))))), E)), sub(R, div(8.975, div(R, sub(M, R)))))), E))"
78,0.6934,21,"mul(0.482, add(add(Ce, div(add(M, sub(Gd, Nd)), sub(sub(R, sub(M, R)), sub(EN, R)))), E))"
79,0.6938,19,"mul(0.482, add(add(Ce, div(M, add(add(R, add(add(R, R), neg(EN))), neg(M)))), E))"
80,0.6938,17,"mul(0.482, add(div(M, add(sub(R, EN), add(sub(R, M), R))), add(Ce, E)))"
81,0.6938,17,"mul(0.482, add(add(Ce, div(M, sub(R, sub(M, sub(R, sub(EN, R)))))), E))"
82,0.6938,17,"mul(0.482, add(add(Ce, div(M, sub(R, sub(M, sub(R, sub(EN, R)))))), E))"
83,0.6938,17,"mul(0.482, add(add(Ce, div(M, sub(add(sub(add(R, R), M), R), EN))), E))"
84,0.6938,17,"mul(0.482, add(E, add(Ce, div(M, add(sub(add(sub(R, EN), R), M), R)))))"
85,0.6938,17,"mul(0.482, add(add(Ce, div(M, sub(sub(R, sub(EN, R)), sub(M, R)))), E))"
86,0.6938,17,"mul(0.482, add(add(Ce, div(M, add(sub(add(sub(R, M), R), EN), R))), E))"
87,0.6938,17,"mul(0.482, add(add(Ce, div(M, sub(R, sub(EN, sub(R, sub(M, R)))))), E))"
88,0.6938,17,"mul(0.482, add(add(Ce, div(M, sub(sub(R, sub(EN, R)), sub(M, R)))), E))"
89,0.6938,18,"mul(0.482, add(add(Ce, div(M, sub(sub(R, M), add(EN, neg(add(R, R)))))), E))"
90,0.6938,17,"mul(0.482, add(add(Ce, div(M, add(sub(add(sub(R, M), R), EN), R))), E))"
91,0.6956,18,"mul(0.487, add(add(Ce, div(Gd, add(mul(neg(M), div(LAS, R)), add(R, Y)))), E))"
92,0.6957,15,"sub(E, div(sub(Pr, LAS), mul(sub(Y, R), add(IE, add(-7.756, LAS)))))"
93,0.6965,21,"add(div(sub(R, E), 1.998), add(div(sub(EN, La), add(sub(R, M), add(1.998, div(R, IE)))), E))"
94,0.6973,21,"add(div(sub(sub(div(IE, R), -5.664), Y), add(R, sub(2.461, EN))), add(div(sub(Ce, E), 2.461), E))"
95,0.6975,41,"mul(0.482, add(E, add(Ce, div(Gd, div(add(sub(mul(LAS, R), mul(M, EN)), mul(R, R)), mul(0.482, add(E, add(Ce, div(Gd, div(add(sub(mul(LAS, R), mul(M, EN)), mul(R, R)), M))))))))))"
96,0.6996,20,"add(div(div(Ce, neg(mul(add(sub(LAS, R), LAS), sub(Y, R)))), add(sub(E, Pr), LAS)), E)"
97,0.6997,24,"add(div(sub(M, La), sub(add(neg(EN), add(Ce, R)), 2.403)), add(div(sub(R, add(E, sub(LAS, Ce))), LAS), E))"
98,0.7002,23,"mul(0.482, add(M, add(div(add(Ce, div(mul(-2.370, div(add(M, M), sub(Ce, Gd))), sub(Sm, La))), La), E)))"
99,0.7005,19,"mul(0.482, add(add(Ce, div(M, sub(R, div(M, sub(R, sub(M, sub(R, 1.142))))))), E))"
100,0.7014,21,"mul(0.482, add(add(Ce, div(Gd, sub(R, div(M, sub(R, sub(M, sub(add(IE, R), EN))))))), E))"
101,0.7014,24,"add(mul(0.482, add(Ce, E)), div(Gd, add(add(-8.720, add(add(R, add(mul(R, Y), neg(M))), neg(Sm))), neg(EN))))"
102,0.7016,17,"add(div(mul(sub(Gd, Ce), sub(EN, R)), 2.961), add(div(sub(M, E), 2.704), E))"
103,0.7019,25,"add(add(Ce, div(Gd, add(add(Ce, 4.887), mul(add(Y, Y), sub(Nd, LAS))))), div(3.631, mul(sub(R, Ce), mul(Y, Gd))))"
104,0.7044,18,"mul(0.482, add(E, add(div(EN, add(add(R, R), neg(mul(div(LAS, Y), M)))), Ce)))"
105,0.7050,21,"mul(0.482, add(add(Ce, div(R, LAS)), add(div(div(sub(M, R), sub(7.641, EN)), sub(7.641, EN)), E)))"
106,0.7056,17,"add(div(sub(M, E), 2.728), add(div(mul(sub(EN, R), sub(Gd, Ce)), 2.728), E))"
107,0.7078,21,"mul(0.482, add(add(Ce, div(M, sub(sub(sub(La, Gd), sub(add(Sm, Gd), add(R, Nd))), -4.807))), E))"
108,0.7083,26,"add(div(sub(Nd, La), add(add(neg(-4.780), sub(R, M)), sub(Y, EN))), add(div(sub(Ce, LAS), add(sub(IE, Pr), EN)), E))"
109,0.7093,17,"mul(0.482, add(add(Ce, div(mul(mul(EN, sub(M, R)), sub(EN, R)), La)), E))"
110,0.7098,41,"mul(0.482, add(add(Ce, div(mul(0.482, add(add(Ce, div(Sm, mul(div(sub(add(R, R), M), M), sub(add(R, R), M)))), E)), mul(div(sub(add(R, R), M), M), sub(add(R, R), M)))), E))"
111,0.7104,31,"sub(add(mul(sub(EN, Gd), div(La, add(Sm, Sm))), E), sub(sub(sub(IE, Gd), div(sub(Y, Sm), Gd)), div(div(div(M, Y), sub(Gd, E)), Y)))"
112,0.7118,31,"add(div(sub(sub(Ce, 1.172), Y), Gd), add(div(sub(Gd, LAS), sub(Ce, La)), add(div(sub(Ce, E), LAS), add(div(sub(M, E), sub(Ce, 1.172)), E))))"
113,0.7160,28,"add(div(neg(sub(E, M)), 2.333), add(div(mul(sub(R, EN), sub(Ce, Gd)), Y), add(div(mul(sub(R, EN), sub(Ce, Gd)), Y), E)))"
114,0.7164,31,"add(EN, div(sub(mul(E, La), mul(IE, Sm)), mul(div(Gd, Ce), mul(div(Gd, Ce), add(mul(div(Gd, Ce), mul(div(Gd, Ce), add(7.628, Gd))), Gd)))))"
115,0.7174,15,"add(add(Pr, -6.595), add(div(div(add(-4.552, Ce), sub(R, Y)), Gd), E))"
116,0.7176,33,"mul(0.482, add(M, add(mul(div(sub(2.518, mul(0.482, add(M, add(mul(div(sub(2.518, Gd), sub(Sm, La)), sub(Y, LAS)), E)))), sub(Sm, La)), sub(Y, LAS)), E)))"
117,0.7192,17,"add(div(mul(add(div(div(2.039, sub(R, Y)), Sm), sub(Pr, LAS)), 2.039), E), E)"
118,0.7206,35,"mul(0.482, add(M, sub(div(mul(add(sub(div(mul(add(Ce, Ce), sub(M, Sm)), mul(La, sub(Ce, La))), neg(E)), Ce), sub(M, Sm)), mul(La, sub(Ce, La))), neg(E))))"
119,0.7214,21,"add(div(sub(Gd, add(-0.192, IE)), div(div(mul(sub(Sm, IE), Pr), sub(La, LAS)), sub(La, Y))), E)"
120,0.7220,31,"mul(0.482, add(add(Ce, div(div(neg(add(Ce, div(div(neg(M), add(EN, -7.577)), add(Ce, sub(R, M))))), add(EN, -7.577)), add(Ce, sub(R, M)))), E))"
121,0.7242,25,"add(div(sub(M, La), 2.422), add(div(sub(Sm, E), mul(sub(Gd, LAS), add(IE, Gd))), add(div(sub(Pr, E), LAS), E)))"
122,0.7256,21,"mul(0.482, add(E, add(div(sub(div(mul(div(mul(LAS, Sm), M), Sm), M), Pr), sub(La, Ce)), M)))"
123,0.7261,49,"mul(0.482, add(add(Ce, div(div(Gd, div(Y, div(div(div(M, div(R, M)), div(R, mul(0.482, add(add(Ce, div(div(Gd, div(Y, div(div(div(M, div(R, M)), div(R, EN)), div(R, Sm)))), R)), E)))), div(R, Sm)))), R)), E))"
124,0.7314,25,"add(div(div(sub(M, La), neg(sub(M, sub(R, -3.166)))), neg(sub(M, sub(R, -3.166)))), add(div(sub(Ce, E), 3.200), E))"
125,0.7325,16,"div(add(E, add(EN, add(Ce, neg(mul(sub(R, M), sub(EN, R)))))), 2.982)"
126,0.7338,37,"add(Ce, div(sub(mul(div(add(sub(add(LAS, sub(mul(div(add(sub(add(LAS, div(mul(Sm, Gd), Ce)), Ce), La), Nd), M), Pr)), Ce), La), Nd), M), Pr), mul(Y, add(R, -4.435))))"
