Rank,RMSE,Length,Model Equation
37,0.6148,37,"add(div(sub(Sm, E), add(div(div(mul(neg(Ce), Ce), mul(mul(5.117, Gd), sub(Y, R))), Gd), E)), add(div(div(mul(neg(Ce), Ce), mul(mul(5.117, Gd), sub(Y, R))), Gd), E))"
38,0.6156,33,"add(div(div(sub(Ce, M), sub(Pr, EN)), add(div(add(Ce, -4.439), 4.634), add(sub(E, neg(-6.838)), Sm))), add(div(add(Ce, -4.439), 4.634), add(sub(E, neg(-6.838)), Sm)))"
39,0.6180,17,"add(div(div(add(Ce, -4.842), sub(R, Y)), 3.859), add(div(sub(Sm, E), E), E))"
40,0.6192,17,"add(div(sub(Sm, sub(Y, div(sub(Y, LAS), sub(Pr, EN)))), add(E, -2.245)), E)"
41,0.6198,19,"add(div(div(Y, Gd), mul(sub(R, Y), sub(add(Nd, Nd), Y))), add(add(Sm, -6.610), E))"
42,0.6203,19,"add(add(Sm, -6.801), add(div(div(Ce, div(mul(mul(IE, Gd), sub(R, Y)), Ce)), Gd), E))"
43,0.6204,22,"add(div(sub(Pr, E), E), add(div(div(mul(Ce, E), mul(sub(Y, R), mul(Gd, neg(Gd)))), Nd), E))"
44,0.6208,27,"add(div(add(add(sub(Sm, LAS), div(sub(R, LAS), sub(sub(Gd, Nd), sub(5.409, R)))), sub(M, E)), sub(Ce, div(EN, Pr))), E)"
45,0.6225,23,"add(div(sub(Gd, IE), sub(mul(LAS, Sm), mul(M, E))), add(div(sub(Sm, Y), sub(E, sub(Sm, LAS))), E))"
46,0.6235,20,"add(div(div(Ce, mul(sub(Y, R), neg(M))), Gd), add(div(sub(Sm, E), add(E, -1.648)), E))"
47,0.6248,31,"add(div(sub(Pr, E), add(div(Ce, mul(sub(Y, R), sub(Ce, mul(Gd, M)))), E)), add(div(Ce, mul(sub(Y, R), sub(Ce, mul(Gd, M)))), E))"
48,0.6251,26,"add(div(sub(Sm, E), E), add(div(div(div(Ce, sub(Gd, div(add(M, Gd), div(Ce, La)))), sub(R, Y)), neg(Gd)), E))"
49,0.6255,15,"add(div(add(sub(Sm, E), div(sub(4.401, Ce), sub(Y, R))), Gd), E)"
50,0.6263,21,"add(div(add(div(sub(LAS, Y), sub(EN, Sm)), sub(Sm, LAS)), La), add(div(sub(Sm, E), E), E))"
51,0.6264,27,"add(div(sub(Sm, add(div(div(add(Gd, -7.583), sub(Y, R)), La), E)), E), add(div(div(add(Gd, -7.583), sub(Y, R)), La), E))"
52,0.6266,22,"add(div(sub(Sm, E), E), add(div(add(sub(E, LAS), div(7.966, Nd)), mul(sub(Y, R), neg(E))), E))"
