Rank,RMSE,Length,Model Equation
1,0.3557,37,"add(div(sub(sub(sub(sub(sub(Ce, div(div(Nd, EN), sub(IE, Ce))), div(sub(Sm, Gd), sub(La, E))), div(sub(6.472, Gd), sub(Pr, E))), sub(Sm, Gd)), sub(Nd, Ce)), Gd), EN)"
2,0.3681,35,"add(div(sub(sub(sub(sub(sub(Ce, 0.662), div(div(Nd, Ce), sub(IE, Ce))), div(sub(La, Gd), sub(La, E))), sub(LAS, IE)), div(sub(Sm, Gd), sub(La, E))), EN), EN)"
3,0.3686,32,"add(div(sub(sub(sub(Ce, div(sub(Sm, Gd), sub(La, E))), div(sub(neg(-6.536), Gd), sub(Pr, E))), div(sub(add(Ce, -0.765), Nd), sub(IE, R))), EN), EN)"
4,0.3766,65,"add(div(sub(sub(sub(sub(Ce, div(div(add(div(sub(sub(sub(sub(Ce, div(div(Nd, Gd), sub(IE, Ce))), div(sub(Sm, Gd), sub(La, E))), sub(Sm, 4.302)), div(sub(E, Gd), sub(Pr, E))), EN), EN), Gd), sub(IE, Ce))), div(sub(Sm, Gd), sub(La, E))), sub(Sm, 4.302)), div(sub(E, Gd), sub(Pr, E))), EN), EN)"
5,0.3788,29,"add(div(sub(sub(sub(IE, div(div(Nd, Ce), sub(IE, Ce))), sub(LAS, Ce)), div(sub(mul(div(Pr, Gd), Sm), Gd), sub(Pr, E))), EN), EN)"
6,0.3821,41,"add(div(sub(sub(5.041, sub(E, sub(IE, sub(LAS, sub(IE, sub(LAS, add(Ce, div(sub(Sm, Gd), sub(E, La))))))))), div(sub(add(Ce, div(sub(E, Gd), sub(E, Pr))), La), sub(IE, La))), IE), EN)"
7,0.3821,41,"add(div(sub(sub(5.041, sub(LAS, sub(IE, sub(E, sub(IE, sub(LAS, add(Ce, div(sub(Sm, Gd), sub(E, Pr))))))))), div(sub(add(Ce, div(sub(E, Gd), sub(E, La))), La), sub(IE, La))), IE), EN)"
8,0.3821,41,"add(div(sub(sub(5.041, sub(LAS, sub(IE, sub(E, sub(IE, sub(LAS, add(Ce, div(sub(Sm, Gd), sub(E, Pr))))))))), div(sub(add(Ce, div(sub(E, Gd), sub(E, La))), La), sub(IE, La))), IE), EN)"
9,0.3874,29,"add(div(sub(sub(sub(Ce, div(div(Nd, Ce), sub(IE, Ce))), div(sub(Sm, Gd), sub(6.581, E))), div(sub(Pr, Gd), sub(La, E))), LAS), EN)"
10,0.3874,29,"add(div(sub(sub(sub(Ce, div(div(Nd, Ce), sub(IE, Ce))), div(sub(Sm, Gd), sub(6.581, E))), div(sub(Pr, Gd), sub(La, E))), LAS), EN)"
11,0.3896,30,"add(div(sub(sub(sub(Ce, div(div(Nd, Ce), sub(IE, Ce))), div(sub(Pr, Gd), sub(Pr, E))), div(sub(Sm, Gd), sub(neg(-6.522), E))), LAS), EN)"
12,0.3896,30,"add(div(sub(sub(sub(Ce, div(div(Nd, Ce), sub(IE, Ce))), div(sub(Pr, Gd), sub(Pr, E))), div(sub(Sm, Gd), sub(neg(-6.522), E))), LAS), EN)"
