Rank,RMSE,Length,Model Equation
27,0.4736,57,"add(div(sub(La, Y), add(div(R, mul(add(div(R, mul(mul(sub(R, Y), mul(Gd, Gd)), mul(M, Gd))), E), add(sub(5.959, EN), div(neg(IE), sub(Pr, E))))), E)), add(add(div(R, mul(sub(R, Y), mul(M, Gd))), E), div(sub(Pr, E), mul(neg(IE), sub(5.959, EN)))))"
28,0.4749,61,"add(div(add(div(div(neg(R), div(add(neg(E), M), La)), E), add(div(add(div(div(neg(IE), div(add(neg(E), M), La)), E), Sm), mul(sub(R, Y), mul(LAS, M))), add(div(sub(Pr, E), M), E))), mul(sub(R, Y), mul(M, LAS))), add(div(sub(Sm, E), add(sub(E, Ce), E)), E))"
29,0.4759,41,"add(div(sub(Ce, E), Sm), add(sub(add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), add(div(div(sub(Pr, E), Gd), sub(Nd, E)), E)), E), add(div(div(sub(Gd, E), EN), sub(La, E)), E)))"
30,0.4765,51,"add(div(sub(Pr, E), add(sub(E, Ce), E)), add(div(add(div(neg(La), sub(M, E)), add(div(div(sub(R, Y), div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Sm, LAS)))), R), M)), mul(sub(R, Y), mul(Gd, LAS))), E))"
31,0.4782,39,"add(div(sub(Pr, add(div(Y, mul(sub(Sm, EN), mul(Pr, Gd))), E)), mul(sub(Nd, E), add(E, div(sub(R, Y), sub(Sm, E))))), add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), E))"
32,0.4787,31,"add(add(div(add(div(-5.414, sub(M, E)), M), mul(sub(R, Y), mul(IE, Nd))), E), div(sub(mul(div(Pr, R), Ce), E), div(7.670, sub(Pr, E))))"
33,0.4796,63,"add(div(sub(Sm, E), div(LAS, sub(Pr, add(div(sub(add(Nd, E), Y), add(div(sub(Pr, E), div(Pr, sub(Pr, E))), add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(IE, Nd))), E))), E)))), add(div(add(div(neg(R), sub(M, E)), M), mul(sub(R, Y), mul(E, Gd))), E))"
34,0.4813,33,"add(div(sub(Pr, E), div(7.383, sub(Pr, E))), add(div(add(div(div(neg(La), div(add(neg(E), M), Y)), EN), EN), mul(sub(R, Y), mul(EN, LAS))), E))"
35,0.4838,44,"add(div(add(div(div(neg(R), div(sub(M, E), La)), E), Sm), mul(sub(R, Y), mul(M, Y))), add(div(div(sub(Pr, E), mul(sub(Pr, E), LAS)), E), add(div(sub(Pr, E), mul(sub(Nd, E), LAS)), E)))"
36,0.4848,62,"add(div(sub(Pr, E), E), add(div(add(add(div(mul(Gd, sub(R, Y)), R), Gd), div(neg(R), sub(M, E))), mul(sub(R, Y), mul(add(Gd, div(neg(Ce), add(add(div(add(Sm, div(neg(R), sub(M, E))), mul(sub(R, Y), div(neg(Y), sub(M, E)))), E), add(neg(IE), Pr)))), E))), E))"
