Rank,RMSE,Length,Model Equation
42,0.7560,13,"add(div(add(div(sub(7.060, M), sub(Ce, IE)), Ce), Gd), EN)"
43,0.7561,13,"add(div(sub(Ce, div(sub(E, LAS), sub(IE, R))), Gd), EN)"
44,0.7561,13,"add(div(add(Ce, div(sub(E, LAS), sub(R, IE))), Gd), EN)"
45,0.7561,13,"add(div(add(Ce, div(sub(LAS, E), sub(IE, R))), Gd), EN)"
46,0.7561,13,"add(div(add(div(sub(E, LAS), sub(R, IE)), Ce), Gd), EN)"
47,0.7561,13,"add(div(add(div(sub(LAS, E), sub(IE, R)), Ce), Gd), EN)"
48,0.7586,11,"add(div(Ce, sub(LAS, div(0.974, sub(EN, Nd)))), EN)"
49,0.7592,13,"add(div(sub(Ce, div(sub(Y, 5.239), sub(IE, Ce))), Gd), EN)"
50,0.7593,18,"add(div(Ce, neg(mul(mul(add(Gd, -2.220), sub(Gd, div(Y, R))), sub(IE, Ce)))), E)"
51,0.7620,29,"add(div(sub(sub(sub(sub(Ce, mul(sub(E, Gd), sub(Gd, E))), sub(La, Ce)), mul(sub(E, Gd), sub(Gd, E))), sub(La, Ce)), Gd), EN)"
52,0.7658,13,"add(div(add(Ce, div(sub(E, EN), sub(Ce, IE))), Gd), EN)"
53,0.7658,13,"add(div(add(div(sub(EN, E), sub(IE, Ce)), Ce), Gd), EN)"
54,0.7660,15,"add(div(add(Nd, div(La, sub(Ce, La))), mul(sub(Pr, Gd), 2.171)), EN)"
55,0.7664,15,"add(div(add(E, div(Sm, sub(Ce, La))), mul(sub(Gd, Pr), -2.434)), EN)"
56,0.7693,13,"add(div(add(Ce, div(Y, mul(M, sub(Ce, IE)))), 4.975), EN)"
57,0.7699,13,"add(div(add(Ce, div(div(Y, M), sub(Ce, IE))), 5.384), EN)"
58,0.7712,23,"add(div(sub(add(Ce, sub(add(sub(add(Ce, Ce), LAS), E), Sm)), Sm), mul(sub(Gd, Pr), add(-8.125, EN))), EN)"
59,0.7740,13,"add(div(add(Ce, div(div(-7.225, M), sub(IE, Ce))), Sm), EN)"
60,0.7756,18,"add(div(add(Ce, neg(div(div(add(Ce, sub(Ce, LAS)), Gd), sub(IE, Ce)))), Gd), EN)"
61,0.7808,17,"add(div(add(R, sub(2.327, E)), add(3.009, sub(add(Gd, sub(Pr, E)), E))), EN)"
62,0.7842,11,"add(div(add(Ce, div(-1.395, sub(IE, Ce))), Sm), EN)"
63,0.7846,11,"add(div(4.975, mul(sub(Pr, Gd), sub(Ce, Gd))), EN)"
64,0.7856,11,"add(div(5.141, mul(sub(Pr, Gd), sub(Ce, Gd))), EN)"
65,0.7862,11,"add(div(Gd, mul(sub(Gd, Pr), sub(Gd, Ce))), EN)"
66,0.7863,34,"add(div(Ce, sub(div(div(neg(4.053), sub(R, Ce)), sub(add(R, IE), div(div(neg(4.053), sub(R, Ce)), sub(add(R, IE), sub(Nd, LAS))))), neg(neg(neg(Gd))))), EN)"
67,0.7919,23,"add(div(sub(5.187, sub(div(sub(5.187, sub(sub(E, EN), neg(Ce))), sub(Gd, Pr)), neg(Ce))), sub(Gd, Pr)), EN)"
68,0.7998,13,"add(div(Ce, add(IE, div(sub(E, La), sub(EN, M)))), EN)"
69,0.8001,13,"add(div(Ce, add(sub(Gd, mul(div(E, Gd), Ce)), Pr)), EN)"
70,0.8017,25,"add(EN, div(Ce, add(neg(EN), add(add(neg(E), add(Pr, add(neg(Ce), add(add(neg(E), add(Pr, Gd)), Gd)))), Gd))))"
71,0.8018,19,"add(div(add(sub(add(sub(Ce, Pr), Ce), Pr), Ce), mul(sub(Gd, Pr), div(Pr, -3.001))), EN)"
72,0.8057,27,"add(div(Ce, add(add(Gd, Gd), div(neg(add(div(Ce, add(add(Gd, Gd), div(neg(Ce), div(La, E)))), EN)), div(La, Ce)))), EN)"
73,0.8062,25,"add(div(Ce, sub(add(Gd, sub(add(Gd, Pr), Ce)), add(div(Ce, sub(add(Gd, sub(add(Gd, Pr), Ce)), E)), EN))), EN)"
74,0.8062,27,"add(div(Ce, sub(sub(add(sub(Gd, Ce), Pr), add(div(Ce, sub(sub(add(sub(Gd, Ce), Pr), E), neg(Gd))), EN)), neg(Gd))), EN)"
75,0.8062,25,"add(div(Ce, sub(add(sub(add(Pr, Gd), Ce), Gd), add(div(Ce, sub(add(sub(add(Pr, Gd), Ce), Gd), E)), EN))), EN)"
