Rank,RMSE,Length,Model Equation
55,0.9069,13,"sub(7.662, div(sub(add(sub(add(Pr, Y), E), Y), E), Nd))"
56,0.9070,9,"add(EN, add(sub(R, Pr), div(Gd, Ce)))"
57,0.9074,11,"sub(div(sub(Nd, div(mul(Ce, Pr), M)), LAS), -6.838)"
58,0.9085,8,"sub(add(sub(EN, Pr), 0.866), neg(R))"
59,0.9086,7,"add(sub(R, -0.887), sub(EN, Pr))"
60,0.9086,15,"add(5.564, div(Nd, add(add(Ce, add(add(Ce, IE), neg(E))), neg(E))))"
61,0.9096,12,"sub(div(add(neg(Pr), sub(M, sub(Pr, Nd))), 3.476), -7.081)"
62,0.9099,11,"add(5.258, div(neg(div(neg(E), div(4.958, Nd))), Y))"
63,0.9102,10,"mul(0.482, add(E, mul(div(EN, neg(-5.203)), R)))"
64,0.9103,9,"mul(0.482, add(E, mul(R, div(EN, 5.186))))"
65,0.9104,10,"add(div(E, add(neg(E), add(IE, Y))), 5.383)"
66,0.9106,8,"sub(add(sub(EN, Pr), 0.936), neg(R))"
67,0.9108,10,"sub(sub(6.697, div(Pr, Nd)), neg(div(E, Y)))"
68,0.9110,17,"mul(0.482, add(M, add(div(div(add(sub(Nd, Y), Pr), div(M, Y)), Gd), E)))"
69,0.9111,9,"add(5.396, div(E, add(Y, sub(Gd, E))))"
70,0.9112,9,"sub(div(mul(div(E, IE), E), Y), -5.344)"
71,0.9113,15,"sub(div(sub(sub(E, Y), neg(sub(sub(E, Y), neg(-3.192)))), Nd), -6.996)"
72,0.9116,13,"mul(0.482, add(M, neg(sub(-0.817, add(add(E, Y), neg(IE))))))"
73,0.9120,10,"sub(sub(neg(-6.708), div(La, EN)), sub(LAS, E))"
74,0.9120,13,"sub(7.490, div(Y, sub(add(EN, sub(add(EN, E), IE)), IE)))"
75,0.9121,17,"mul(0.482, add(add(sub(mul(0.482, add(add(sub(E, 5.382), EN), R)), 5.382), EN), R))"
