Rank,RMSE,Length,Model Equation
1,0.6452,20,"mul(0.482, add(add(M, sub(EN, Sm)), add(EN, div(La, add(div(E, sub(Gd, La)), neg(-6.120))))))"
2,0.6755,15,"mul(0.482, add(Gd, add(Nd, div(EN, add(div(LAS, sub(Gd, La)), 4.909)))))"
3,0.6859,15,"mul(0.482, add(M, add(EN, div(Y, add(div(LAS, sub(Gd, La)), Gd)))))"
4,0.6859,15,"mul(0.482, add(M, add(EN, div(Y, add(div(LAS, sub(Gd, La)), Gd)))))"
5,0.6894,15,"mul(0.482, add(M, add(EN, div(Nd, add(div(Sm, sub(Gd, La)), M)))))"
6,0.7317,16,"sub(div(div(neg(E), div(mul(Gd, sub(E, La)), sub(Gd, La))), M), -6.986)"
7,0.7330,23,"mul(0.482, add(neg(-6.781), sub(div(div(E, mul(sub(M, EN), mul(sub(Y, Gd), La))), sub(Pr, Gd)), neg(Nd))))"
8,0.7696,13,"mul(0.482, add(add(div(sub(Gd, La), sub(6.244, La)), EN), 6.244))"
9,0.7755,17,"mul(0.482, add(M, mul(add(E, div(sub(Gd, Nd), sub(Sm, La))), div(6.536, Gd))))"
10,0.7757,13,"mul(0.482, add(add(div(sub(Gd, La), sub(6.244, La)), M), EN))"
11,0.7781,13,"mul(0.479, add(add(div(sub(Gd, La), sub(6.244, La)), EN), M))"
12,0.7822,41,"mul(0.482, add(mul(div(mul(0.482, add(add(div(add(La, -5.019), sub(E, Sm)), EN), mul(0.482, add(mul(div(mul(0.482, add(add(div(add(La, -5.019), sub(E, Sm)), EN), R)), 5.371), EN), R)))), 5.371), EN), R))"
13,0.7838,17,"mul(0.484, add(EN, add(add(R, sub(E, 5.598)), div(sub(Nd, Gd), sub(La, Sm)))))"
14,0.7838,17,"mul(0.484, add(EN, add(add(R, sub(E, 5.598)), div(sub(Nd, Gd), sub(La, Sm)))))"
15,0.8042,20,"mul(0.482, add(add(div(mul(add(La, La), sub(Gd, E)), mul(neg(EN), sub(Ce, Gd))), EN), R))"
16,0.8123,13,"mul(0.482, add(add(div(sub(Gd, La), sub(6.147, La)), EN), R))"
17,0.8146,11,"add(M, div(div(Sm, sub(M, LAS)), mul(-4.792, La)))"
18,0.8146,11,"add(M, div(div(Sm, sub(M, LAS)), mul(-4.792, La)))"
19,0.8146,11,"add(M, div(div(Sm, sub(M, LAS)), mul(-4.792, La)))"
20,0.8146,11,"add(M, div(div(Sm, sub(M, LAS)), mul(-4.792, La)))"
21,0.8146,11,"add(M, div(div(Sm, sub(M, LAS)), mul(-4.811, La)))"
22,0.8153,11,"add(M, div(div(Sm, sub(M, LAS)), mul(-4.614, La)))"
23,0.8153,11,"add(M, div(div(Sm, sub(M, LAS)), mul(-4.614, La)))"
24,0.8391,13,"mul(0.482, add(add(div(sub(E, LAS), sub(E, Sm)), EN), R))"
25,0.8515,14,"sub(div(add(Nd, div(sub(Gd, R), sub(La, E))), Y), neg(5.606))"
26,0.8605,27,"div(sub(neg(-6.838), div(neg(E), add(neg(sub(neg(-6.838), div(neg(E), add(neg(EN), sub(La, Sm))))), sub(La, Sm)))), div(LAS, E))"
27,0.8689,21,"mul(0.482, add(E, add(add(M, div(sub(Sm, Nd), sub(La, Nd))), div(sub(Sm, Nd), sub(La, Nd)))))"
28,0.8713,13,"mul(0.482, add(Nd, add(div(sub(Ce, Gd), sub(R, La)), Gd)))"
29,0.8963,7,"div(add(mul(EN, R), La), Pr)"
30,0.8963,10,"div(mul(sub(R, neg(div(La, EN))), EN), Ce)"
31,0.8967,7,"mul(R, div(sub(EN, -0.929), Pr))"
32,0.8973,7,"mul(R, div(sub(EN, -0.895), Pr))"
33,0.8985,7,"mul(R, div(sub(EN, -0.986), Pr))"
34,0.9004,7,"mul(R, div(add(0.845, EN), Pr))"
35,0.9033,15,"neg(div(neg(E), div(add(LAS, div(add(div(Ce, E), La), EN)), Ce)))"
36,0.9033,9,"sub(div(sub(EN, Nd), sub(Sm, La)), -5.855)"
37,0.9033,9,"sub(div(sub(EN, Nd), sub(Sm, La)), -5.855)"
38,0.9040,8,"neg(sub(-0.897, div(R, div(Pr, EN))))"
39,0.9041,17,"mul(0.482, add(sub(mul(0.482, add(sub(M, sub(La, R)), E)), sub(La, R)), E))"
