Rank,RMSE,Length,Model Equation
1,0.4655,35,"mul(0.468, add(M, add(div(add(add(add(EN, div(sub(Y, Nd), sub(M, add(R, -0.381)))), div(sub(IE, E), sub(M, LAS))), div(sub(M, Ce), sub(EN, Nd))), La), E)))"
2,0.4747,36,"mul(0.482, add(M, add(div(add(add(Ce, div(add(EN, Gd), neg(sub(mul(La, M), mul(E, Nd))))), div(div(R, mul(add(2.714, Gd), sub(LAS, E))), sub(EN, Y))), R), E)))"
3,0.4873,47,"mul(0.482, add(M, add(div(add(add(Ce, div(add(Gd, EN), neg(sub(mul(La, M), mul(E, Nd))))), div(div(sub(sub(sub(Pr, Pr), sub(EN, Ce)), add(neg(La), sub(Ce, Ce))), mul(Nd, sub(LAS, E))), sub(EN, Y))), R), E)))"
4,0.4914,34,"mul(0.482, add(M, add(div(add(add(Ce, div(add(Gd, EN), neg(sub(mul(La, M), mul(E, Nd))))), div(div(Ce, mul(E, sub(LAS, E))), sub(EN, Y))), R), E)))"
5,0.4914,34,"mul(0.482, add(M, add(div(add(add(Ce, div(add(Gd, EN), neg(sub(mul(La, M), mul(E, Nd))))), div(div(Ce, mul(E, sub(LAS, E))), sub(EN, Y))), R), E)))"
6,0.5415,59,"mul(0.482, add(M, add(div(add(add(EN, div(add(add(sub(div(neg(Ce), sub(M, LAS)), div(div(2.076, La), mul(Ce, Sm))), add(sub(div(Gd, Pr), neg(LAS)), add(sub(Y, La), div(La, M)))), LAS), neg(sub(mul(La, M), mul(E, Nd))))), div(div(R, neg(IE)), sub(EN, Y))), Y), E)))"
7,0.5419,23,"add(div(sub(R, E), div(LAS, 3.041)), add(div(sub(EN, La), div(mul(sub(Nd, E), EN), sub(Pr, Gd))), E))"
8,0.5419,23,"add(div(sub(R, E), div(LAS, 3.041)), add(div(sub(EN, La), div(mul(sub(Nd, E), EN), sub(Pr, Gd))), E))"
9,0.5447,29,"mul(0.482, add(M, add(div(add(3.178, div(div(add(Gd, Gd), add(Ce, div(add(mul(-1.367, R), EN), sub(EN, Y)))), sub(EN, Sm))), La), E)))"
10,0.5462,23,"add(div(sub(R, E), div(LAS, 3.041)), add(div(sub(EN, La), div(mul(sub(Nd, E), Ce), sub(Pr, Gd))), E))"
11,0.5474,30,"mul(0.482, add(M, add(div(add(add(Gd, div(add(LAS, LAS), neg(sub(mul(La, M), mul(E, Nd))))), div(add(-7.257, Y), sub(EN, Y))), La), E)))"
12,0.5497,50,"add(div(neg(div(sub(R, M), sub(EN, Nd))), Gd), add(div(neg(div(sub(E, EN), sub(EN, Y))), Nd), add(div(neg(sub(La, M)), Sm), add(div(neg(sub(La, M)), Sm), add(div(neg(sub(E, Ce)), Sm), add(div(sub(Pr, LAS), LAS), E))))))"
13,0.5669,27,"mul(0.482, add(M, add(div(add(Ce, div(div(Pr, add(Ce, div(add(sub(-1.367, R), IE), sub(EN, Y)))), sub(EN, Sm))), La), E)))"
