Rank,RMSE,Length,Model Equation
1,0.3742,38,"sub(div(add(mul(mul(sub(E, La), sub(Nd, 4.685)), sub(Gd, 5.115)), add(mul(sub(LAS, La), sub(Nd, IE)), div(div(div(Nd, La), sub(R, La)), La))), La), sub(div(LAS, E), neg(-7.230)))"
2,0.3742,38,"sub(div(add(mul(mul(sub(E, La), sub(Nd, 4.685)), sub(Gd, 5.115)), add(mul(sub(LAS, La), sub(Nd, IE)), div(div(div(Nd, La), sub(R, La)), La))), La), sub(div(LAS, E), neg(-7.230)))"
3,0.3742,38,"sub(div(add(mul(mul(sub(E, La), sub(Nd, 4.685)), sub(Gd, 5.115)), add(mul(sub(LAS, La), sub(Nd, IE)), div(div(div(Nd, La), sub(R, La)), La))), La), sub(div(LAS, E), neg(-7.230)))"
4,0.3742,38,"sub(div(add(mul(mul(sub(E, La), sub(Nd, 4.685)), sub(Gd, 5.115)), add(mul(sub(LAS, La), sub(Nd, IE)), div(div(div(Nd, La), sub(R, La)), La))), La), sub(div(LAS, E), neg(-7.230)))"
5,0.3751,38,"sub(div(add(mul(mul(sub(E, La), sub(Nd, 4.685)), sub(Gd, 5.115)), add(mul(sub(LAS, La), sub(Nd, IE)), div(div(div(Nd, La), sub(R, La)), R))), La), sub(div(LAS, E), neg(-7.230)))"
6,0.4791,23,"div(add(Ce, add(M, add(E, div(sub(sub(6.759, EN), div(R, E)), sub(sub(Sm, Nd), sub(EN, Sm)))))), 3.055)"
7,0.5392,26,"sub(sub(EN, div(neg(sub(R, sub(Pr, sub(R, sub(Pr, La))))), LAS)), div(div(sub(Y, Sm), sub(Sm, Ce)), sub(Nd, La)))"
8,0.5392,26,"sub(sub(EN, div(neg(sub(R, sub(Pr, sub(R, sub(Pr, La))))), LAS)), div(div(sub(Y, Sm), sub(Sm, Ce)), sub(Nd, La)))"
9,0.5424,37,"div(mul(Y, M), add(add(add(IE, div(div(Nd, sub(Y, La)), mul(mul(neg(Gd), div(La, Nd)), div(La, Nd)))), div(div(M, sub(R, La)), mul(neg(Y), mul(Y, LAS)))), -0.089))"
10,0.5424,21,"mul(0.482, add(M, add(E, mul(neg(div(div(neg(Nd), sub(EN, Sm)), mul(-3.992, IE))), sub(R, EN)))))"
11,0.5424,21,"mul(0.482, add(M, add(E, mul(neg(div(div(neg(Nd), sub(EN, Sm)), mul(-3.992, IE))), sub(R, EN)))))"
12,0.5437,37,"div(mul(Y, M), add(add(add(IE, div(div(Nd, sub(Y, La)), mul(mul(neg(Gd), div(La, Nd)), div(La, Nd)))), div(div(M, sub(R, La)), mul(neg(Y), mul(Y, IE)))), -0.089))"
13,0.5437,37,"div(mul(Y, M), add(add(add(IE, div(div(Nd, sub(Y, La)), mul(mul(neg(Gd), div(La, Nd)), div(La, Nd)))), div(div(M, sub(R, La)), mul(neg(Y), mul(Y, IE)))), -0.089))"
14,0.5485,21,"sub(sub(EN, div(sub(sub(Pr, R), R), IE)), div(div(sub(Y, Sm), sub(Sm, Ce)), sub(Nd, La)))"
