Rank,RMSE,Length,Model Equation
1,0.7554,21,"add(sub(Y, sub(Pr, M)), div(Ce, add(add(Y, sub(Pr, sub(EN, sub(Y, Nd)))), sub(Pr, M))))"
2,0.7554,21,"add(sub(Y, sub(Pr, M)), div(Ce, add(add(Y, sub(Pr, sub(EN, sub(Y, Nd)))), sub(Pr, M))))"
3,0.7561,31,"sub(div(sub(E, Y), div(add(La, R), sub(div(sub(E, Y), div(add(La, R), M)), sub(div(La, E), neg(-7.252))))), sub(div(La, E), neg(-7.252)))"
4,0.7608,17,"add(div(sub(mul(EN, div(Nd, Y)), Y), La), add(div(sub(Pr, E), 3.470), E))"
5,0.7611,17,"add(div(sub(Pr, E), 3.339), add(div(sub(div(EN, div(Y, Nd)), Y), La), E))"
6,0.7617,17,"add(div(sub(Pr, E), 3.778), add(div(sub(div(EN, div(Y, Nd)), Y), La), E))"
7,0.7636,17,"add(div(sub(Pr, E), 4.044), add(div(sub(div(EN, div(Y, Nd)), Y), La), E))"
8,0.7662,15,"sub(neg(div(sub(Y, E), sub(Pr, 4.836))), sub(div(La, E), neg(-7.230)))"
9,0.7669,22,"add(div(sub(Pr, La), add(add(Ce, Y), mul(div(neg(Nd), Y), Ce))), add(div(sub(M, E), 2.615), E))"
10,0.7685,17,"add(sub(Y, sub(Pr, M)), div(Ce, add(Y, sub(Pr, sub(EN, sub(Y, Nd))))))"
11,0.7686,33,"add(div(sub(M, Y), sub(add(La, La), add(div(sub(M, Y), sub(add(La, La), M)), add(div(sub(Pr, E), E), E)))), add(div(sub(Pr, E), E), E))"
12,0.7690,16,"add(div(neg(sub(add(sub(add(sub(La, M), E), 6.924), E), M)), LAS), E)"
13,0.7691,36,"add(div(sub(Pr, La), div(mul(mul(add(Y, E), neg(Sm)), neg(add(IE, La))), div(sub(div(Y, Sm), div(LAS, M)), neg(div(LAS, Ce))))), add(div(sub(M, E), 2.652), E))"
14,0.7693,13,"add(div(add(sub(Pr, Y), sub(EN, E)), div(LAS, 1.852)), E)"
15,0.7696,13,"add(div(sub(M, E), div(mul(2.561, La), Ce)), add(0.196, E))"
16,0.7698,15,"add(div(sub(sub(sub(M, E), sub(E, M)), sub(La, Pr)), LAS), E)"
17,0.7698,15,"add(div(sub(Pr, add(sub(add(sub(La, M), E), M), E)), LAS), E)"
18,0.7698,15,"add(div(add(add(sub(Pr, La), sub(M, E)), sub(M, E)), LAS), E)"
19,0.7698,15,"add(div(add(add(sub(M, E), sub(M, E)), sub(Pr, La)), LAS), E)"
20,0.7703,16,"add(div(neg(sub(sub(E, sub(sub(Nd, 4.928), sub(E, M))), M)), La), E)"
21,0.7703,15,"add(div(sub(add(M, div(mul(Nd, M), La)), add(E, E)), LAS), E)"
22,0.7707,13,"add(div(sub(M, E), 2.582), add(div(add(-5.058, Nd), La), E))"
23,0.7708,19,"add(div(add(Nd, -4.179), La), div(add(E, add(M, div(add(E, add(M, E)), 3.055))), 3.055))"
24,0.7709,15,"add(div(add(sub(M, E), add(sub(Pr, Y), sub(Nd, E))), La), E)"
25,0.7709,13,"add(div(add(-4.943, Nd), La), add(div(sub(M, E), 2.564), E))"
26,0.7710,13,"add(div(sub(M, E), 2.540), add(div(sub(7.035, La), IE), E))"
27,0.7713,13,"add(div(sub(M, E), 2.557), add(div(sub(7.132, La), IE), E))"
28,0.7714,17,"add(div(div(sub(mul(M, M), mul(add(-0.480, E), add(-0.480, E))), LAS), La), E)"
29,0.7716,13,"add(div(sub(M, E), -1.609), add(div(sub(7.072, La), Y), M))"
30,0.7716,13,"add(div(sub(M, E), 2.647), add(div(sub(7.076, La), Y), E))"
31,0.7716,13,"add(div(sub(M, E), 2.647), add(div(sub(7.076, La), Y), E))"
32,0.7717,13,"add(div(sub(M, E), 2.663), add(div(sub(7.091, La), Y), E))"
33,0.7717,13,"add(div(sub(7.069, La), Y), add(div(sub(M, E), 2.673), E))"
34,0.7718,13,"add(div(sub(7.156, La), Y), add(div(sub(M, E), 2.667), E))"
35,0.7719,13,"add(div(sub(6.960, La), IE), add(div(sub(M, E), 2.651), E))"
36,0.7719,13,"add(div(sub(M, E), 2.695), add(div(sub(Pr, La), IE), E))"
37,0.7719,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.708), E))"
38,0.7719,13,"add(div(sub(M, E), 2.712), add(div(sub(Pr, La), IE), E))"
39,0.7719,13,"add(div(sub(M, E), 2.712), add(div(sub(Pr, La), IE), E))"
40,0.7719,13,"add(div(sub(M, E), 2.712), add(div(sub(Pr, La), IE), E))"
41,0.7719,13,"add(div(sub(M, E), 2.712), add(div(sub(Pr, La), IE), E))"
42,0.7719,13,"add(div(sub(M, E), 2.712), add(div(sub(Pr, La), IE), E))"
43,0.7719,13,"add(div(sub(M, E), 2.712), add(div(sub(Pr, La), IE), E))"
44,0.7719,13,"add(div(sub(M, E), 2.684), add(div(sub(Pr, La), IE), E))"
45,0.7719,13,"add(div(sub(M, E), 2.716), add(div(sub(Pr, La), IE), E))"
46,0.7719,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.679), E))"
47,0.7719,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.722), E))"
48,0.7720,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.727), E))"
49,0.7720,13,"add(div(sub(M, E), 2.750), add(div(sub(Pr, La), IE), E))"
50,0.7720,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), -1.568), M))"
51,0.7720,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.763), E))"
52,0.7720,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.763), E))"
53,0.7720,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.763), E))"
54,0.7720,13,"add(div(sub(M, E), 2.767), add(div(sub(Pr, La), IE), E))"
55,0.7720,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.768), E))"
56,0.7720,13,"add(div(sub(M, E), 2.628), add(div(sub(Pr, La), IE), E))"
57,0.7721,13,"add(div(sub(M, E), 2.625), add(div(sub(Pr, La), IE), E))"
58,0.7721,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.788), E))"
59,0.7721,13,"add(div(sub(M, E), 2.790), add(div(sub(Pr, La), IE), E))"
60,0.7721,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.792), E))"
61,0.7721,13,"add(div(sub(M, E), 2.793), add(div(sub(Pr, La), IE), E))"
62,0.7721,13,"add(div(sub(M, E), 2.793), add(div(sub(Pr, La), IE), E))"
63,0.7721,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.794), E))"
64,0.7722,13,"add(div(sub(M, E), 2.813), add(div(sub(Pr, La), IE), E))"
65,0.7722,13,"add(div(sub(M, E), 2.824), add(div(sub(Pr, La), IE), E))"
66,0.7722,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.826), E))"
67,0.7723,13,"add(div(sub(M, E), 2.841), add(div(sub(Pr, La), IE), E))"
68,0.7724,13,"add(div(sub(M, E), 2.866), add(div(sub(Pr, La), IE), E))"
69,0.7726,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.892), E))"
70,0.7727,15,"add(div(sub(M, E), 2.928), add(div(sub(Pr, add(La, -0.229)), IE), E))"
71,0.7727,13,"add(add(-6.793, Pr), add(div(div(EN, sub(Nd, Y)), La), E))"
72,0.7728,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.913), E))"
73,0.7729,15,"add(add(div(M, La), div(E, -7.214)), add(div(sub(M, E), 4.007), E))"
74,0.7729,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.933), E))"
75,0.7729,13,"add(div(sub(M, E), 2.937), add(div(sub(Pr, La), IE), E))"
76,0.7730,15,"add(div(sub(M, E), sub(Pr, 3.935)), add(div(sub(Pr, La), IE), E))"
77,0.7730,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.945), E))"
78,0.7730,13,"add(div(sub(M, E), 2.948), add(div(sub(Pr, La), IE), E))"
79,0.7730,14,"add(div(neg(sub(E, M)), 2.949), add(div(sub(Pr, La), IE), E))"
80,0.7732,13,"add(div(sub(M, E), 2.843), add(div(add(-4.978, Nd), La), E))"
81,0.7732,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.972), E))"
82,0.7735,12,"sub(neg(div(sub(Y, E), 2.239)), sub(div(La, E), 7.336))"
83,0.7735,13,"add(div(sub(M, E), 3.003), add(div(sub(Pr, La), IE), E))"
84,0.7736,13,"add(div(sub(M, E), 3.017), add(div(sub(Pr, La), IE), E))"
85,0.7737,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.024), E))"
86,0.7737,12,"sub(div(sub(E, Y), 2.270), sub(div(La, E), neg(-7.342)))"
87,0.7738,17,"add(div(sub(Pr, Y), add(La, sub(La, Nd))), add(div(sub(M, E), LAS), E))"
88,0.7738,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.038), E))"
89,0.7739,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 2.423), E))"
90,0.7741,11,"sub(div(sub(E, Y), 2.339), sub(div(La, E), 7.260))"
91,0.7741,13,"add(div(sub(M, E), 3.067), add(div(sub(Pr, La), IE), E))"
92,0.7742,21,"add(div(sub(E, add(M, 0.333)), add(add(div(sub(E, add(M, 0.378)), add(EN, -8.512)), E), -8.512)), E)"
93,0.7742,17,"add(sub(div(M, La), div(sub(sub(E, sub(M, E)), sub(M, E)), Pr)), E)"
94,0.7742,13,"add(div(sub(M, E), 3.079), add(div(sub(Pr, La), IE), E))"
95,0.7743,12,"sub(neg(div(sub(Y, E), 2.433)), sub(div(La, E), 7.336))"
96,0.7743,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.088), E))"
97,0.7744,13,"add(div(sub(M, E), 3.089), add(div(sub(Pr, La), IE), E))"
98,0.7744,13,"add(div(sub(M, E), 3.089), add(div(sub(Pr, La), IE), E))"
99,0.7744,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.091), E))"
100,0.7744,13,"add(div(sub(EN, E), 3.816), add(div(sub(Pr, Y), 2.676), E))"
101,0.7745,19,"add(div(div(Nd, La), 3.277), div(add(M, add(E, div(add(M, add(E, E)), 3.055))), 3.055))"
102,0.7745,13,"add(div(sub(M, E), 3.104), add(div(sub(Pr, La), IE), E))"
103,0.7745,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.104), E))"
104,0.7746,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.107), E))"
105,0.7746,13,"add(div(sub(M, E), 3.114), add(div(sub(Pr, La), IE), E))"
106,0.7746,21,"add(div(sub(E, add(M, 0.333)), add(add(div(sub(E, add(M, 0.333)), add(EN, -8.604)), E), -8.604)), E)"
107,0.7747,13,"add(div(sub(M, E), 3.116), add(div(sub(Pr, La), IE), E))"
108,0.7747,13,"add(div(sub(Pr, Y), 2.673), add(div(sub(EN, E), 4.126), E))"
109,0.7747,13,"add(div(sub(M, E), 3.123), add(div(sub(Pr, La), IE), E))"
110,0.7748,13,"add(div(sub(EN, E), 4.046), add(div(sub(Pr, Y), 2.762), E))"
111,0.7748,21,"add(div(sub(E, add(M, 0.378)), add(add(div(sub(E, add(M, 0.378)), add(EN, -8.512)), E), -8.512)), E)"
112,0.7748,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.128), E))"
113,0.7748,13,"add(div(sub(EN, E), 4.194), add(div(sub(Pr, Y), 2.656), E))"
114,0.7749,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.135), E))"
115,0.7749,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.140), E))"
116,0.7749,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.141), E))"
117,0.7751,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.152), E))"
118,0.7751,13,"add(div(add(sub(Pr, Y), sub(M, E)), sub(La, 1.613)), E)"
119,0.7752,11,"sub(div(sub(E, Y), 1.865), sub(div(La, Y), 7.260))"
120,0.7752,19,"add(div(sub(Pr, Y), La), add(div(sub(M, E), add(div(Y, R), add(La, -3.229))), E))"
121,0.7753,12,"sub(neg(div(sub(Y, E), 2.098)), sub(div(La, E), 7.351))"
122,0.7753,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.174), E))"
123,0.7755,18,"add(div(add(add(neg(E), sub(Pr, Y)), sub(Pr, Y)), Nd), add(div(M, La), E))"
124,0.7764,13,"add(sub(div(M, Y), div(sub(E, sub(Pr, E)), EN)), E)"
125,0.7764,14,"add(div(add(neg(E), sub(Pr, E)), EN), add(div(M, Y), E))"
126,0.7768,13,"add(div(sub(EN, E), 3.269), add(div(sub(Pr, Y), 2.523), E))"
127,0.7768,17,"mul(0.482, add(M, sub(div(sub(div(Nd, La), sub(0.329, E)), La), sub(0.329, E))))"
128,0.7768,13,"mul(div(add(M, La), add(E, add(div(-1.781, La), La))), E)"
129,0.7769,13,"add(div(div(sub(mul(Pr, M), mul(Y, E)), 4.709), La), E)"
130,0.7770,13,"add(div(sub(M, E), 3.303), add(div(sub(Pr, La), IE), E))"
131,0.7771,12,"sub(div(sub(E, Y), 2.486), sub(div(La, E), neg(-7.230)))"
132,0.7772,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.319), E))"
133,0.7772,14,"mul(0.482, add(M, add(div(EN, sub(sub(Pr, Nd), neg(La))), E)))"
134,0.7773,13,"add(div(sub(M, E), 3.322), add(div(sub(Pr, La), IE), E))"
135,0.7774,13,"add(div(sub(M, E), 3.334), add(div(sub(Pr, La), IE), E))"
136,0.7775,13,"mul(0.469, add(M, add(div(add(div(Nd, La), E), La), E)))"
137,0.7776,13,"add(div(sub(M, E), 3.348), add(div(sub(Pr, La), IE), E))"
138,0.7777,13,"add(div(sub(M, add(Y, -1.905)), La), add(add(-7.033, Pr), E))"
139,0.7777,13,"add(sub(div(M, La), 0.862), add(div(sub(M, E), 2.872), E))"
140,0.7778,19,"add(div(sub(M, Y), La), add(div(sub(Pr, E), add(div(Y, R), add(La, -3.229))), E))"
141,0.7778,13,"add(div(sub(Pr, La), Y), add(div(sub(M, E), 3.312), E))"
142,0.7783,13,"add(div(sub(M, E), 3.395), add(div(sub(Pr, La), IE), E))"
143,0.7784,19,"add(div(sub(M, E), 3.447), add(div(sub(Pr, Y), La), add(div(sub(Pr, La), IE), E)))"
144,0.7786,13,"mul(0.527, add(mul(0.482, add(M, mul(0.482, add(M, EN)))), E))"
145,0.7786,13,"add(div(sub(Pr, La), IE), add(div(sub(M, E), 3.419), E))"
146,0.7789,12,"add(div(neg(sub(sub(Y, Pr), sub(EN, E))), 3.040), E)"
147,0.7789,11,"add(div(add(sub(EN, Y), sub(Pr, E)), 3.009), E)"
148,0.7790,11,"add(div(sub(EN, add(sub(Y, Pr), E)), 3.107), E)"
149,0.7791,11,"add(div(sub(add(Pr, EN), add(E, Y)), 2.937), E)"
150,0.7792,11,"div(add(add(div(Nd, La), E), add(E, M)), 3.055)"
151,0.7792,11,"div(add(add(div(Nd, La), E), add(M, E)), 3.055)"
152,0.7792,11,"div(add(add(div(Nd, La), E), add(E, M)), 3.055)"
153,0.7792,11,"div(add(add(div(Nd, La), E), add(M, E)), 3.055)"
154,0.7792,11,"div(add(add(div(Nd, La), E), add(M, E)), 3.055)"
155,0.7792,11,"div(add(add(E, div(Nd, La)), add(E, M)), 3.055)"
156,0.7792,11,"div(add(add(div(Nd, La), E), add(E, M)), 3.055)"
157,0.7792,11,"div(add(add(div(Nd, La), E), add(E, M)), 3.055)"
158,0.7792,11,"div(add(add(div(Nd, La), E), add(M, E)), 3.055)"
159,0.7792,11,"add(div(add(sub(EN, E), sub(Pr, Y)), 2.919), E)"
160,0.7794,11,"add(0.134, add(div(sub(M, E), mul(0.442, La)), E))"
161,0.7795,13,"add(div(sub(M, E), 3.479), add(div(sub(Pr, La), IE), E))"
162,0.7798,17,"add(div(add(sub(EN, IE), div(Gd, Ce)), La), add(div(sub(M, E), 3.430), E))"
163,0.7801,11,"sub(div(sub(E, Y), 2.836), sub(div(La, E), 7.260))"
164,0.7802,13,"add(add(Pr, -6.903), add(div(sub(M, add(Y, -1.119)), La), E))"
165,0.7804,11,"add(mul(div(Ce, mul(2.305, La)), sub(M, E)), E)"
166,0.7804,11,"add(div(sub(div(EN, div(Y, Pr)), E), 3.350), E)"
167,0.7804,13,"mul(0.482, add(M, add(div(4.296, div(R, div(Nd, La))), E)))"
168,0.7805,13,"add(div(div(8.313, La), div(div(LAS, 1.783), sub(M, E))), E)"
169,0.7808,9,"mul(0.476, add(E, add(div(Nd, La), M)))"
170,0.7811,9,"mul(0.476, add(div(Nd, La), add(E, M)))"
