Rank,RMSE,Length,Model Equation
1,0.5461,34,"add(add(M, div(div(Sm, add(Sm, neg(E))), mul(div(La, sub(M, LAS)), neg(La)))), div(div(EN, sub(M, LAS)), mul(neg(div(neg(Ce), div(E, La))), neg(La))))"
2,0.6445,29,"mul(0.469, add(M, add(div(mul(0.469, add(M, add(div(E, mul(sub(Nd, La), sub(Gd, La))), Nd))), mul(sub(Nd, La), sub(Gd, La))), Nd)))"
3,0.6704,15,"mul(0.482, add(Nd, add(div(EN, mul(sub(Nd, La), sub(Gd, La))), M)))"
4,0.7215,19,"add(div(sub(E, M), 4.288), add(div(div(Gd, 4.886), mul(sub(LAS, M), add(La, La))), M))"
5,0.7224,25,"add(add(add(La, div(Nd, sub(add(R, sub(add(R, sub(add(R, sub(add(Y, Sm), M)), E)), Nd)), Nd))), -6.291), EN)"
6,0.7502,17,"mul(0.482, add(div(Nd, div(Y, Gd)), add(div(R, div(Nd, div(Y, Gd))), E)))"
7,0.7510,21,"add(div(div(div(div(div(Gd, div(Y, Nd)), div(R, E)), div(R, E)), div(Y, Nd)), Y), 5.314)"
8,0.7561,31,"mul(0.482, add(M, add(sub(div(sub(sub(Nd, Pr), neg(R)), neg(neg(Pr))), div(div(add(Gd, -5.716), sub(R, EN)), add(add(IE, Sm), neg(Ce)))), E)))"
9,0.7577,15,"mul(0.482, add(mul(div(EN, Y), add(sub(E, add(Sm, -0.298)), EN)), R))"
10,0.7615,16,"sub(sub(M, sub(Pr, 6.849)), div(div(sub(Y, LAS), neg(Sm)), sub(Y, EN)))"
11,0.7618,17,"mul(0.482, add(mul(div(add(M, Nd), add(Y, Sm)), E), add(div(La, EN), EN)))"
12,0.7623,13,"div(mul(6.884, mul(0.482, add(M, add(Nd, div(Gd, Nd))))), Ce)"
13,0.7628,13,"div(mul(6.862, mul(0.482, add(add(Nd, div(Gd, Nd)), M))), Ce)"
14,0.7630,17,"add(add(M, div(sub(add(Nd, div(IE, La)), Sm), La)), div(sub(E, M), 2.340))"
15,0.7630,15,"mul(div(3.363, Ce), add(M, add(div(Gd, add(div(Gd, 6.774), Nd)), Nd)))"
16,0.7633,13,"mul(0.482, add(mul(div(EN, Sm), mul(div(EN, Y), E)), R))"
17,0.7636,14,"div(mul(neg(-6.838), mul(0.482, add(M, add(div(Gd, 5.070), Nd)))), Ce)"
18,0.7640,25,"add(add(add(M, div(sub(E, M), 2.091)), div(sub(Nd, add(M, div(sub(E, M), 2.091))), Sm)), div(sub(Nd, 4.870), Sm))"
19,0.7641,18,"add(neg(add(LAS, div(add(Sm, Sm), mul(sub(Pr, LAS), mul(Gd, La))))), add(E, EN))"
20,0.7644,20,"add(add(add(M, div(sub(E, M), neg(-2.194))), div(sub(Nd, 5.215), Sm)), div(sub(Nd, 5.215), Sm))"
21,0.7650,17,"add(add(M, div(sub(E, M), 1.866)), div(sub(Nd, LAS), add(La, sub(Y, M))))"
22,0.7650,17,"add(add(M, div(sub(E, M), 1.866)), div(sub(Nd, LAS), add(La, sub(Y, M))))"
23,0.7650,17,"add(add(M, div(sub(E, M), 1.866)), div(sub(Nd, LAS), add(La, sub(Y, M))))"
24,0.7657,23,"add(add(add(M, div(sub(E, M), 3.028)), div(div(sub(E, M), 3.028), La)), div(sub(add(Nd, 0.719), Sm), La))"
25,0.7661,13,"add(add(M, div(sub(E, M), 2.283)), div(sub(Nd, 5.424), 3.312))"
26,0.7663,21,"add(add(add(M, div(sub(E, M), 2.296)), div(sub(Nd, 4.904), Sm)), div(div(sub(Nd, 4.904), Sm), Sm))"
27,0.7664,13,"add(add(M, div(sub(Nd, 5.489), 2.992)), div(sub(E, M), 2.343))"
28,0.7665,13,"add(add(M, div(sub(Nd, 5.376), 3.056)), div(sub(E, M), 2.165))"
29,0.7666,21,"add(add(add(M, div(sub(E, M), 2.152)), div(sub(Nd, 4.904), Sm)), div(div(sub(Nd, 4.904), Sm), Sm))"
30,0.7667,13,"add(sub(div(Y, Sm), div(M, Nd)), mul(div(7.038, Pr), M))"
31,0.7667,13,"add(sub(div(Y, Sm), div(M, Nd)), mul(div(7.038, Pr), M))"
32,0.7667,13,"add(sub(div(Y, Sm), div(M, Nd)), mul(div(7.038, Pr), M))"
33,0.7667,13,"add(sub(div(Y, Sm), div(M, Nd)), mul(div(7.038, Ce), M))"
