Rank,RMSE,Length,Model Equation
1,0.4056,25,"add(mul(sub(M, Sm), div(sub(La, Pr), sub(E, 8.714))), add(div(sub(LAS, Y), mul(sub(Nd, EN), sub(1.796, Y))), E))"
2,0.4250,35,"sub(add(IE, add(div(sub(Nd, LAS), La), add(div(sub(Ce, La), add(sub(Y, Nd), La)), add(div(div(sub(E, EN), sub(Sm, EN)), add(sub(IE, Sm), La)), E)))), Y)"
3,0.4325,38,"sub(sub(sub(E, div(sub(La, Nd), mul(neg(Ce), sub(Sm, EN)))), div(sub(E, M), La)), div(div(sub(La, R), sub(sub(7.718, EN), sub(Nd, Pr))), sub(div(La, Y), sub(Nd, Pr))))"
4,0.4423,35,"add(div(sub(M, LAS), add(La, sub(4.089, M))), add(div(sub(EN, E), mul(sub(Sm, EN), sub(div(sub(EN, E), mul(sub(Sm, EN), sub(sub(EN, Y), Y))), Y))), E))"
5,0.4448,26,"add(div(sub(EN, E), mul(sub(Sm, EN), neg(add(La, sub(Y, Nd))))), add(div(sub(sub(M, add(-8.589, IE)), LAS), La), E))"
6,0.4477,31,"add(div(sub(Gd, La), LAS), add(div(sub(EN, La), mul(add(Ce, mul(sub(La, Y), mul(3.149, Y))), sub(EN, Sm))), add(div(sub(M, LAS), 3.445), E)))"
7,0.4489,23,"sub(sub(E, div(sub(5.562, M), add(La, -3.484))), div(sub(E, EN), mul(sub(sub(EN, Y), E), sub(Sm, EN))))"
8,0.4620,35,"add(div(div(neg(sub(La, M)), sub(Ce, sub(Sm, div(neg(IE), Sm)))), sub(Ce, mul(EN, sub(E, Y)))), add(div(sub(M, E), LAS), add(div(sub(M, Nd), LAS), E)))"
9,0.4637,50,"add(div(add(Ce, neg(Sm)), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), 4.670)), E))), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), 4.670)), E)))"
10,0.4650,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), 4.670)), E)))"
11,0.4650,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), 4.670)), E)))"
12,0.4650,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), 4.670)), E)))"
13,0.4650,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), 4.670)), E)))"
14,0.4650,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), 4.670)), E)))"
15,0.4650,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), 4.670)), E)))"
16,0.4650,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), 4.670)), E)))"
17,0.4650,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), 4.670)), E)))"
18,0.4667,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), La)), E)))"
19,0.4667,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), La)), E)))"
20,0.4667,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), La)), E)))"
21,0.4667,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), La)), E)))"
22,0.4667,29,"add(div(add(Ce, neg(Sm)), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), E)), add(div(sub(M, R), mul(sub(M, EN), La)), E)))"
23,0.4684,26,"add(div(sub(M, Sm), add(sub(3.781, Pr), La)), add(div(sub(LAS, Y), mul(sub(Nd, EN), add(7.935, neg(add(IE, Y))))), E))"
24,0.4779,27,"sub(sub(E, div(sub(La, Nd), mul(sub(neg(6.452), sub(La, M)), sub(Sm, EN)))), div(sub(E, sub(sub(Ce, Y), neg(Gd))), La))"
25,0.4779,27,"sub(sub(E, div(sub(La, Nd), mul(sub(neg(6.452), sub(La, M)), sub(Sm, EN)))), div(sub(E, sub(sub(Ce, Y), neg(Gd))), La))"
26,0.4800,27,"sub(sub(sub(E, div(sub(La, Nd), mul(sub(sub(Sm, Y), E), sub(Sm, EN)))), div(sub(E, Ce), La)), div(sub(La, M), LAS))"
27,0.4913,28,"add(div(sub(M, E), 3.614), add(div(sub(Ce, Sm), E), add(div(sub(Sm, Y), mul(neg(mul(div(Y, Sm), IE)), sub(Nd, EN))), E)))"
28,0.4914,28,"add(div(sub(Nd, La), mul(sub(Sm, EN), add(neg(Y), sub(Nd, Y)))), add(div(sub(Ce, E), La), add(div(sub(Ce, E), La), E)))"
29,0.4925,28,"add(div(sub(M, E), 3.830), add(div(sub(Ce, Sm), E), add(div(sub(Sm, Y), mul(neg(mul(div(Y, Sm), IE)), sub(Nd, EN))), E)))"
30,0.4933,35,"add(div(sub(La, Sm), div(add(Nd, Nd), IE)), add(div(sub(M, Ce), mul(div(sub(EN, Nd), neg(E)), neg(mul(LAS, Sm)))), add(div(sub(M, La), add(-3.576, La)), E)))"
31,0.4935,22,"add(div(sub(Nd, La), mul(sub(Sm, EN), neg(La))), add(div(sub(M, LAS), add(sub(La, 8.044), La)), E))"
32,0.4951,23,"add(div(sub(EN, Y), mul(sub(Nd, EN), neg(Y))), add(mul(sub(M, Sm), div(add(La, -8.397), neg(La))), E))"
33,0.4967,29,"add(div(sub(Gd, Sm), LAS), add(div(neg(sub(Y, LAS)), mul(sub(EN, Nd), Ce)), add(div(sub(M, R), mul(sub(M, EN), neg(-4.004))), E)))"
34,0.5009,24,"add(div(sub(Ce, LAS), La), add(div(sub(M, E), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), La)), E)))"
35,0.5009,24,"add(div(sub(Ce, LAS), La), add(div(sub(M, E), La), add(div(sub(Nd, La), mul(add(EN, neg(Sm)), La)), E)))"
36,0.5031,24,"sub(sub(E, div(sub(La, Nd), mul(neg(E), sub(Sm, EN)))), div(div(sub(La, M), sub(IE, 3.894)), sub(LAS, 3.894)))"
37,0.5043,19,"add(div(sub(M, Sm), add(La, -3.588)), add(div(sub(Y, LAS), mul(sub(Nd, EN), 4.194)), E))"
38,0.5044,36,"add(div(div(R, EN), mul(sub(neg(-0.816), sub(Y, LAS)), EN)), add(div(div(div(sub(Nd, Y), sub(add(2.698, La), EN)), sub(add(2.698, La), EN)), sub(add(2.698, La), EN)), E))"
39,0.5049,29,"add(div(sub(M, sub(Sm, sub(M, sub(Sm, sub(M, sub(E, neg(mul(neg(sub(Y, LAS)), div(div(8.542, IE), sub(Nd, EN)))))))))), La), E)"
40,0.5054,24,"sub(sub(sub(E, div(sub(La, Nd), mul(neg(Ce), sub(Sm, EN)))), div(sub(LAS, Ce), La)), div(sub(La, M), Y))"
41,0.5162,30,"add(div(div(div(neg(sub(Y, Nd)), sub(7.667, EN)), sub(7.667, EN)), 1.854), add(div(div(La, LAS), mul(sub(div(LAS, Y), sub(Y, LAS)), Nd)), E))"
42,0.5216,38,"add(div(sub(Nd, Y), sub(sub(sub(sub(div(Pr, Nd), sub(-1.707, La)), EN), sub(-1.707, La)), EN)), add(div(div(add(Sm, sub(Ce, Nd)), EN), mul(sub(neg(-0.816), sub(Y, LAS)), EN)), E))"
43,0.5249,31,"sub(sub(E, div(sub(Gd, M), add(div(4.337, sub(Ce, La)), sub(Y, E)))), div(sub(sub(La, M), sub(IE, LAS)), sub(Sm, div(LAS, sub(Nd, La)))))"
44,0.5271,28,"add(div(sub(M, LAS), Nd), add(div(sub(Nd, La), div(neg(div(Gd, EN)), mul(add(IE, -6.412), div(sub(M, La), sub(M, LAS))))), E))"
45,0.5290,23,"add(div(sub(LAS, Y), mul(4.496, sub(EN, Nd))), add(div(sub(Gd, E), Sm), add(div(sub(M, LAS), La), E)))"
46,0.5297,19,"div(mul(IE, add(div(div(sub(E, EN), sub(Sm, EN)), div(La, div(Nd, La))), E)), Y)"
47,0.5297,19,"div(mul(IE, add(div(div(sub(E, EN), sub(Sm, EN)), div(La, div(Nd, La))), E)), Y)"
48,0.5319,24,"add(div(sub(Sm, Y), mul(Y, neg(sub(Nd, EN)))), add(div(sub(M, E), 4.250), add(div(sub(Ce, Sm), LAS), E)))"
49,0.5349,27,"add(div(sub(LAS, Y), mul(sub(Nd, EN), -4.738)), add(div(sub(M, sub(sub(sub(sub(E, Pr), neg(LAS)), Pr), neg(LAS))), La), E))"
50,0.5362,23,"add(div(sub(Sm, Y), mul(Y, sub(EN, Nd))), add(div(sub(Gd, E), Sm), add(div(sub(M, LAS), La), E)))"
51,0.5362,23,"add(div(sub(Sm, Y), mul(Y, sub(EN, Nd))), add(div(sub(Pr, E), Sm), add(div(sub(M, LAS), La), E)))"
52,0.5375,22,"sub(sub(E, div(sub(IE, div(mul(EN, Pr), LAS)), LAS)), div(sub(La, Nd), mul(neg(Y), sub(Sm, EN))))"
53,0.5380,22,"add(div(sub(M, LAS), La), add(div(sub(Nd, La), mul(sub(EN, Sm), add(add(IE, Ce), neg(LAS)))), E))"
