Rank,RMSE,Length,Model Equation
1,0.4550,38,"add(div(sub(Ce, E), LAS), add(div(div(-0.337, sub(EN, IE)), Ce), add(div(neg(sub(La, M)), sub(R, 4.191)), add(div(div(-0.304, sub(EN, Y)), 3.428), add(div(sub(Ce, Y), LAS), E)))))"
2,0.4707,37,"sub(E, sub(sub(sub(sub(IE, Gd), div(sub(Ce, add(sub(Gd, Y), E)), 3.945)), div(sub(Ce, add(sub(M, Y), Sm)), mul(sub(Pr, EN), add(LAS, EN)))), div(sub(Sm, La), Ce)))"
3,0.4828,31,"add(div(sub(M, LAS), LAS), add(div(mul(div(sub(EN, La), sub(EN, Pr)), sub(neg(E), neg(EN))), M), add(div(sub(Pr, La), sub(Y, 3.482)), E)))"
4,0.4834,31,"sub(add(mul(sub(EN, Gd), div(2.912, Sm)), E), sub(sub(neg(sub(Gd, IE)), div(sub(Y, LAS), neg(mul(4.174, sub(EN, Nd))))), div(sub(Y, E), 3.621)))"
5,0.4834,30,"sub(add(mul(sub(EN, Gd), div(2.912, Sm)), E), sub(sub(sub(IE, Gd), div(sub(Y, LAS), neg(mul(4.174, sub(EN, Nd))))), div(sub(Y, E), 3.621)))"
6,0.4836,47,"sub(E, sub(sub(sub(sub(sub(IE, Gd), div(sub(Ce, add(sub(Gd, Y), E)), Y)), div(sub(Ce, add(sub(Gd, Y), E)), Y)), div(sub(Ce, add(sub(M, Y), Nd)), mul(sub(Pr, EN), add(Y, Sm)))), div(sub(Pr, La), E)))"
7,0.4849,53,"add(div(sub(R, La), div(div(neg(add(div(sub(R, La), div(div(neg(Ce), sub(R, E)), sub(Gd, Pr))), add(div(div(neg(Ce), sub(R, Y)), mul(7.246, -5.970)), E))), sub(R, E)), sub(Gd, Pr))), add(div(div(neg(Ce), sub(R, Y)), mul(7.246, -5.970)), E))"
8,0.4856,47,"sub(E, sub(sub(sub(sub(sub(IE, Gd), div(sub(Ce, add(sub(Gd, Y), E)), Y)), div(sub(Ce, add(sub(Gd, Y), E)), Y)), div(sub(Ce, add(sub(M, Y), Nd)), mul(sub(Pr, EN), add(Ce, Sm)))), div(sub(Pr, La), E)))"
9,0.4861,41,"sub(E, sub(sub(sub(sub(IE, Gd), div(sub(Ce, add(sub(Gd, Y), add(sub(Gd, Y), E))), Sm)), div(sub(Ce, add(sub(M, Y), Nd)), mul(sub(Pr, EN), add(Ce, Sm)))), div(sub(Pr, La), E)))"
10,0.4878,30,"sub(add(mul(sub(EN, Gd), div(2.981, Sm)), E), sub(sub(sub(IE, Gd), div(sub(Y, E), 3.809)), div(sub(Y, LAS), neg(mul(3.809, sub(EN, Nd))))))"
11,0.4913,23,"add(div(sub(R, E), 4.396), add(div(div(sub(Y, LAS), sub(Nd, EN)), 4.396), add(div(sub(M, La), 2.093), E)))"
12,0.4961,27,"sub(add(mul(sub(EN, Gd), div(M, add(Nd, div(div(EN, M), sub(Pr, EN))))), E), sub(sub(IE, Gd), div(sub(Y, Sm), 2.891)))"
13,0.5044,26,"add(div(div(sub(M, neg(add(0.893, -7.127))), sub(EN, Pr)), 5.085), add(div(sub(R, LAS), IE), add(div(sub(M, La), 1.746), E)))"
14,0.5079,30,"add(div(sub(Ce, LAS), add(sub(EN, Pr), IE)), add(div(neg(add(E, sub(La, add(M, Gd)))), mul(sub(add(La, 2.162), EN), div(M, 2.060))), E))"
15,0.5125,47,"sub(add(mul(sub(EN, Gd), div(3.577, mul(Y, div(Y, La)))), E), sub(sub(sub(sub(IE, Gd), div(mul(sub(Sm, La), sub(Gd, Ce)), 3.986)), div(mul(sub(LAS, La), mul(sub(EN, IE), sub(Gd, Y))), 2.243)), div(sub(Y, Sm), 3.283)))"
