Rank,RMSE,Length,Model Equation
1,0.4718,24,"add(div(div(3.333, IE), add(neg(div(M, Sm)), mul(sub(EN, Nd), sub(M, -1.262)))), add(div(sub(Sm, LAS), 2.510), E))"
2,0.4855,45,"add(div(mul(div(mul(sub(Sm, Y), add(div(mul(sub(Sm, Y), sub(Sm, Y)), La), add(div(div(sub(Sm, Y), sub(EN, Pr)), La), E))), La), sub(Sm, Y)), La), add(div(div(sub(LAS, Y), sub(EN, Sm)), La), E))"
3,0.4907,28,"add(div(sub(Sm, La), add(E, mul(5.404, add(neg(Nd), sub(E, mul(sub(Gd, Nd), sub(Gd, Nd))))))), add(div(sub(M, Y), 3.891), E))"
4,0.5049,25,"add(mul(sub(M, Y), 0.243), add(div(sub(M, Ce), mul(add(Y, 2.302), sub(EN, Pr))), add(div(sub(Sm, La), E), E)))"
5,0.5049,25,"add(mul(sub(M, Y), 0.243), add(div(sub(M, Ce), mul(add(Y, 2.302), sub(EN, Pr))), add(div(sub(Sm, La), E), E)))"
6,0.5064,25,"add(div(sub(M, Ce), mul(add(1.827, Y), sub(EN, Pr))), add(div(sub(M, Y), Y), add(div(sub(Sm, La), E), E)))"
7,0.5125,29,"add(div(sub(M, EN), add(mul(sub(Pr, M), EN), La)), add(div(sub(M, E), add(div(div(sub(EN, -2.953), R), sub(LAS, Nd)), La)), E))"
8,0.5154,23,"add(div(sub(M, Ce), mul(8.328, sub(EN, Pr))), add(div(sub(M, Y), 4.472), add(div(sub(Pr, La), E), E)))"
9,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
10,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
11,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
12,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
13,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
14,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
15,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
16,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
17,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
18,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
19,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
20,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
21,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
22,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
23,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
24,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
25,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
26,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
27,0.5155,23,"add(div(R, mul(sub(R, Y), mul(add(IE, div(LAS, sub(La, Ce))), LAS))), add(div(sub(M, E), E), E))"
