Rank,RMSE,Length,Model Equation
1,0.4315,33,"add(div(sub(5.969, add(div(sub(Gd, E), 3.147), E)), mul(sub(EN, Nd), add(div(sub(5.969, add(div(sub(Gd, E), 3.147), E)), mul(sub(EN, Nd), Nd)), E))), E)"
2,0.4562,29,"add(div(sub(Sm, add(0.357, E)), mul(add(R, add(div(sub(Sm, add(0.357, E)), mul(add(E, R), sub(EN, Nd))), E)), sub(EN, Nd))), E)"
3,0.4702,15,"add(div(sub(sub(LAS, -5.767), add(E, EN)), mul(sub(IE, La), 3.836)), E)"
4,0.5059,16,"add(neg(mul(div(sub(Nd, Gd), sub(EN, Nd)), div(sub(M, La), 7.755))), E)"
5,0.5394,15,"add(div(div(0.786, sub(R, Y)), mul(mul(La, Gd), sub(IE, M))), E)"
6,0.5417,43,"add(div(add(-4.965, Sm), mul(mul(Gd, sub(add(add(div(E, Y), sub(-0.719, Ce)), neg(neg(Ce))), add(sub(sub(Ce, 2.856), add(E, 4.312)), add(add(Y, Pr), sub(Gd, Y))))), mul(sub(R, Pr), sub(Ce, E)))), E)"
7,0.5495,59,"add(mul(div(add(-4.410, Sm), add(mul(add(div(sub(Ce, M), add(R, La)), mul(neg(La), div(E, Nd))), div(mul(neg(IE), add(Pr, R)), div(mul(Nd, Gd), div(R, Nd)))), neg(mul(mul(neg(E), add(Pr, EN)), div(div(R, Y), add(EN, Y)))))), div(add(-4.410, Sm), sub(R, Y))), E)"
8,0.5586,13,"add(div(div(sub(E, Gd), sub(Pr, R)), mul(-3.031, Gd)), E)"
9,0.5707,13,"add(div(div(add(-4.395, Sm), mul(Gd, Gd)), sub(R, Y)), E)"
10,0.5717,27,"add(div(mul(neg(sub(8.013, Gd)), div(add(Nd, 7.044), sub(R, Y))), sub(8.108, mul(add(mul(M, Gd), neg(R)), mul(Gd, 4.795)))), E)"
11,0.5723,11,"add(div(sub(Nd, Gd), mul(-6.162, sub(R, IE))), E)"
12,0.5725,15,"add(div(div(div(sub(La, Sm), Gd), 1.757), mul(Gd, sub(R, La))), E)"
13,0.5768,14,"add(div(div(add(LAS, -4.844), sub(Y, R)), mul(Gd, neg(Gd))), E)"
14,0.5783,13,"add(div(sub(div(IE, Gd), div(M, M)), sub(R, Y)), E)"
15,0.5808,13,"sub(E, div(div(Nd, sub(Y, R)), mul(mul(Gd, Gd), Gd)))"
16,0.5808,13,"add(div(div(Nd, sub(R, Pr)), mul(mul(Gd, Gd), Gd)), E)"
17,0.5808,13,"add(div(div(div(Nd, Gd), sub(R, Pr)), mul(Gd, Gd)), E)"
18,0.5808,14,"add(div(div(neg(Nd), mul(mul(Gd, Gd), sub(Y, R))), Gd), E)"
19,0.5900,14,"add(div(div(neg(Y), sub(Pr, R)), mul(mul(Gd, Gd), 8.658)), E)"
20,0.5990,18,"add(neg(div(div(sub(La, LAS), sub(La, R)), add(mul(EN, M), mul(IE, La)))), E)"
21,0.5991,15,"add(div(add(R, -7.132), mul(Pr, sub(mul(Sm, Ce), mul(Nd, R)))), E)"
22,0.6269,22,"add(div(neg(div(neg(La), mul(1.275, La))), mul(neg(sub(Gd, R)), sub(add(M, E), mul(-5.989, EN)))), E)"
23,0.6331,11,"add(div(-0.191, mul(sub(IE, 6.621), Nd)), add(-0.160, E))"
24,0.6422,28,"add(neg(div(div(neg(add(-6.231, IE)), neg(sub(EN, Pr))), div(mul(sub(Pr, R), sub(-2.023, M)), div(div(E, 3.124), add(Sm, R))))), E)"
25,0.6523,11,"sub(M, div(LAS, mul(R, mul(La, sub(M, LAS)))))"
26,0.6685,11,"add(div(div(div(R, Nd), sub(Gd, E)), Nd), E)"
27,0.6840,20,"add(div(M, mul(mul(add(Y, neg(EN)), EN), add(E, add(div(LAS, EN), IE)))), add(-0.177, E))"
28,0.6974,30,"add(E, div(sub(add(sub(R, R), div(Ce, Pr)), div(div(Sm, La), mul(LAS, Pr))), sub(mul(sub(Y, EN), add(E, IE)), neg(sub(Pr, Y)))))"
29,0.7097,7,"add(sub(E, 1.335), div(Y, E))"
30,0.7104,7,"add(add(E, -1.357), div(Pr, E))"
31,0.7115,13,"add(div(sub(5.615, E), mul(Gd, div(LAS, add(M, Sm)))), E)"
32,0.7115,11,"sub(E, div(add(E, -5.385), mul(Gd, div(Nd, Y))))"
